crop,site_code,harvest_month,year,anpp,n_amt,n_cat,ppt,type,wue
maize,KBS,9,1999,13653.72417,27.0,Low,636.2406,Croplands,21.460001405128814
maize,KBS,9,1999,14928.55647,97.0,Low,636.2406,Croplands,23.463696705302993
maize,KBS,9,1999,11534.58003,115.0,High,636.2406,Croplands,18.129273784162784
maize,KBS,10,1990,10850.0,0.0,No,973.15,Croplands,11.149360324718698
maize,KBS,10,1990,11334.81917,28.0,Low,973.15,Croplands,11.647556049940915
maize,KBS,10,1991,14291.1477,124.0,High,1044.92,Croplands,13.67678645255139
maize,KBS,10,1993,8833.324733,0.0,No,956.13,Croplands,9.238623129699935
maize,KBS,10,1993,12013.9341,60.0,Low,956.13,Croplands,12.565168021084999
maize,KBS,10,1993,15488.48062,84.0,Low,956.13,Croplands,16.199136749186827
maize,KBS,10,1996,8822.73,0.0,No,691.8,Croplands,12.753295750216825
maize,KBS,10,1996,10138.34667,55.0,Low,691.8,Croplands,14.655025542064182
maize,KBS,10,1996,10177.75333,138.0,High,691.8,Croplands,14.711988045677941
maize,KBS,10,1996,9253.303333,189.0,High,691.8,Croplands,13.375691432494941
maize,KBS,10,2002,11298.24849,28.0,Low,758.3424,Croplands,14.898611089133352
maize,KBS,10,2002,11262.72297,162.0,High,758.3424,Croplands,14.85176480966909
maize,KBS,10,2002,10709.44953,163.0,High,758.3424,Croplands,14.122182183140492
maize,KBS,10,2005,12259.52533,0.0,No,753.1504,Croplands,16.277658924432625
maize,KBS,10,2005,14810.15667,33.0,Low,753.1504,Croplands,19.66427511689564
maize,KBS,10,2005,15823.73,157.0,High,753.1504,Croplands,21.010053237706572
maize,KBS,10,2008,9371.588,33.0,Low,1161.554,Croplands,8.068146638038352
maize,KBS,10,2008,12360.255,147.0,High,1161.554,Croplands,10.64113678744165
maize,KBS,10,2011,11878.30267,124.0,High,1064.54,Croplands,11.158155325304826
maize,KBS,10,2011,18224.51667,157.0,High,1064.54,Croplands,17.11961661374866
maize,KBS,10,2011,18086.20867,158.0,High,1064.54,Croplands,16.98969383019896
maize,KBS,10,2011,21789.48533,159.0,High,1064.54,Croplands,20.468451471997295
maize,KBS,10,2014,11146.06233,0.0,No,963.35,Croplands,11.570106742097888
maize,KBS,10,2014,19123.485,44.0,Low,963.35,Croplands,19.851025068770436
maize,KBS,10,2014,20037.36367,168.0,High,963.35,Croplands,20.79967163543883
maize,KBS,10,2017,5547.6,0.0,No,1081.0,Croplands,5.131914893617021
maize,KBS,10,2017,15014.40333,34.0,Low,1081.0,Croplands,13.889364782608695
maize,KBS,10,2017,15862.52333,172.0,High,1081.0,Croplands,14.6739346253469
maize,KBS,10,2017,15900.69667,173.0,High,1081.0,Croplands,14.709247613320999
maize,KBS,10,2020,11907.44667,0.0,No,1043.0,Croplands,11.416535637583891
maize,KBS,10,2020,16965.82667,284.0,High,1043.0,Croplands,16.266372646212847
maize,KBS,10,2020,15059.319,500.0,High,1043.0,Croplands,14.438465004793864
maize,PRHPA,8,2012,10918.90133,0.0,No,409.957,Croplands,26.634260007756914
maize,PRHPA,8,2012,10918.90133,0.0,No,409.957,Pasture,26.634260007756914
maize,PRHPA,8,2012,10099.0316,89.998,Low,409.957,Croplands,24.634367994692127
maize,PRHPA,8,2012,10099.0316,89.998,Low,409.957,Pasture,24.634367994692127
maize,PRHPA,8,2012,12623.138,179.996,High,409.957,Croplands,30.791370802303657
maize,PRHPA,8,2012,12623.138,179.996,High,409.957,Pasture,30.791370802303657
maize,PRHPA,8,2012,7174.866667,0.0,No,409.957,Croplands,17.50151032181424
maize,PRHPA,8,2012,7174.866667,0.0,No,409.957,Pasture,17.50151032181424
maize,PRHPA,8,2012,7766.225,60.0,Low,409.957,Croplands,18.943999004773673
maize,PRHPA,8,2012,7766.225,60.0,Low,409.957,Pasture,18.943999004773673
maize,PRHPA,8,2012,9032.325,120.0,High,409.957,Croplands,22.032371687762378
maize,PRHPA,8,2012,9032.325,120.0,High,409.957,Pasture,22.032371687762378
maize,PRHPA,8,2012,8621.6875,180.0,High,409.957,Croplands,21.030711757574576
maize,PRHPA,8,2012,8621.6875,180.0,High,409.957,Pasture,21.030711757574576
maize,PRHPA,9,1984,11216.7475,0.0,No,790.1950007,Croplands,14.194910737303529
maize,PRHPA,9,1984,11216.7475,0.0,No,790.1950007,Pasture,14.194910737303529
maize,PRHPA,9,1984,10545.5845,89.998,Low,790.1950007,Croplands,13.345546973415571
maize,PRHPA,9,1984,10545.5845,89.998,Low,790.1950007,Pasture,13.345546973415571
maize,PRHPA,9,1984,11559.65313,179.996,High,790.1950007,Croplands,14.628861382013044
maize,PRHPA,9,1984,11559.65313,179.996,High,790.1950007,Pasture,14.628861382013044
maize,PRHPA,9,1985,15024.2925,0.0,No,761.8769963,Croplands,19.72010255325253
maize,PRHPA,9,1985,15024.2925,0.0,No,761.8769963,Pasture,19.72010255325253
maize,PRHPA,9,1985,15501.677,89.998,Low,761.8769963,Croplands,20.346692543918195
maize,PRHPA,9,1985,15501.677,89.998,Low,761.8769963,Pasture,20.346692543918195
maize,PRHPA,9,1985,17089.37938,179.996,High,761.8769963,Croplands,22.430627861181428
maize,PRHPA,9,1985,17089.37938,179.996,High,761.8769963,Pasture,22.430627861181428
maize,PRHPA,9,1987,13732.872,0.0,No,800.1190018,Croplands,17.163536885270357
maize,PRHPA,9,1987,13732.872,0.0,No,800.1190018,Pasture,17.163536885270357
maize,PRHPA,9,1987,12609.6996,89.998,Low,800.1190018,Croplands,15.759780197236156
maize,PRHPA,9,1987,12609.6996,89.998,Low,800.1190018,Pasture,15.759780197236156
maize,PRHPA,9,1987,14234.138,179.996,High,800.1190018,Croplands,17.79002619357615
maize,PRHPA,9,1987,14234.138,179.996,High,800.1190018,Pasture,17.79002619357615
maize,PRHPA,9,1988,11088.632,0.0,No,482.346,Croplands,22.98895813378778
maize,PRHPA,9,1988,11088.632,0.0,No,482.346,Pasture,22.98895813378778
maize,PRHPA,9,1988,10501.7268,89.998,Low,482.346,Croplands,21.772185941212324
maize,PRHPA,9,1988,10501.7268,89.998,Low,482.346,Pasture,21.772185941212324
maize,PRHPA,9,1988,13052.166,179.996,High,482.346,Croplands,27.059757933101963
maize,PRHPA,9,1988,13052.166,179.996,High,482.346,Pasture,27.059757933101963
maize,PRHPA,9,1989,10229.78533,0.0,No,543.052,Croplands,18.837579697708506
maize,PRHPA,9,1989,10229.78533,0.0,No,543.052,Pasture,18.837579697708506
maize,PRHPA,9,1989,10646.308,89.998,Low,543.052,Croplands,19.604582986527994
maize,PRHPA,9,1989,10646.308,89.998,Low,543.052,Pasture,19.604582986527994
maize,PRHPA,9,1989,12315.6595,179.996,High,543.052,Croplands,22.6786007601482
maize,PRHPA,9,1989,12315.6595,179.996,High,543.052,Pasture,22.6786007601482
maize,PRHPA,9,1990,11044.40533,0.0,No,593.5019994,Croplands,18.608876366322818
maize,PRHPA,9,1990,11044.40533,0.0,No,593.5019994,Pasture,18.608876366322818
maize,PRHPA,9,1990,13520.2544,89.998,Low,593.5019994,Croplands,22.78046984453006
maize,PRHPA,9,1990,13520.2544,89.998,Low,593.5019994,Pasture,22.78046984453006
maize,PRHPA,9,1990,14746.4765,179.996,High,593.5019994,Croplands,24.84654898367306
maize,PRHPA,9,1990,14746.4765,179.996,High,593.5019994,Pasture,24.84654898367306
maize,PRHPA,9,1991,12403.37867,0.0,No,758.359999,Croplands,16.355528622759017
maize,PRHPA,9,1991,12403.37867,0.0,No,758.359999,Pasture,16.355528622759017
maize,PRHPA,9,1991,12964.9548,89.998,Low,758.359999,Croplands,17.0960425353342
maize,PRHPA,9,1991,12964.9548,89.998,Low,758.359999,Pasture,17.0960425353342
maize,PRHPA,9,1991,13241.41,179.996,High,758.359999,Croplands,17.460586024395518
maize,PRHPA,9,1991,13241.41,179.996,High,758.359999,Pasture,17.460586024395518
maize,PRHPA,9,1994,16604.31267,0.0,No,794.062,Croplands,20.910599764250147
maize,PRHPA,9,1994,16604.31267,0.0,No,794.062,Pasture,20.910599764250147
maize,PRHPA,9,1994,16223.0324,89.998,Low,794.062,Croplands,20.430435406807025
maize,PRHPA,9,1994,16223.0324,89.998,Low,794.062,Pasture,20.430435406807025
maize,PRHPA,9,1994,19448.592,179.996,High,794.062,Croplands,24.492535847326785
maize,PRHPA,9,1994,19448.592,179.996,High,794.062,Pasture,24.492535847326785
maize,PRHPA,9,1995,5907.936667,0.0,No,590.07,Croplands,10.012264082227532
maize,PRHPA,9,1995,5907.936667,0.0,No,590.07,Pasture,10.012264082227532
maize,PRHPA,9,1995,5447.4684,89.998,Low,590.07,Croplands,9.231901977731454
maize,PRHPA,9,1995,5447.4684,89.998,Low,590.07,Pasture,9.231901977731454
maize,PRHPA,9,1995,6910.732,179.996,High,590.07,Croplands,11.711715559170944
maize,PRHPA,9,1995,6910.732,179.996,High,590.07,Pasture,11.711715559170944
maize,PRHPA,9,1998,14532.16667,0.0,No,849.17,Croplands,17.113377380265437
maize,PRHPA,9,1998,14532.16667,0.0,No,849.17,Pasture,17.113377380265437
maize,PRHPA,9,1998,14401.5724,89.998,Low,849.17,Croplands,16.959586890728595
maize,PRHPA,9,1998,14401.5724,89.998,Low,849.17,Pasture,16.959586890728595
maize,PRHPA,9,1998,16376.0775,179.996,High,849.17,Croplands,19.284804573878024
maize,PRHPA,9,1998,16376.0775,179.996,High,849.17,Pasture,19.284804573878024
maize,PRHPA,9,1999,13733.838,0.0,No,812.749,Croplands,16.898006641656895
maize,PRHPA,9,1999,13733.838,0.0,No,812.749,Pasture,16.898006641656895
maize,PRHPA,9,1999,14616.1756,89.998,Low,812.749,Croplands,17.983627909723666
maize,PRHPA,9,1999,14616.1756,89.998,Low,812.749,Pasture,17.983627909723666
maize,PRHPA,9,1999,17118.415,179.996,High,812.749,Croplands,21.06236365716845
maize,PRHPA,9,1999,17118.415,179.996,High,812.749,Pasture,21.06236365716845
maize,PRHPA,9,2000,11839.52533,0.0,No,500.913,Croplands,23.63589152208068
maize,PRHPA,9,2000,11839.52533,0.0,No,500.913,Pasture,23.63589152208068
maize,PRHPA,9,2000,10681.7692,89.998,Low,500.913,Croplands,21.324599680982526
maize,PRHPA,9,2000,10681.7692,89.998,Low,500.913,Pasture,21.324599680982526
maize,PRHPA,9,2000,12197.403,179.996,High,500.913,Croplands,24.35034227500584
maize,PRHPA,9,2000,12197.403,179.996,High,500.913,Pasture,24.35034227500584
maize,PRHPA,9,2000,11449.9,60.0,Low,500.913,Croplands,22.8580611802848
