year,site_code,type,crop,cereal,map,anpp,ppt,wue
1983,CPER,Rangelands,Range,Range,318.75,1019.342222,405.638,2.512935726
1984,CPER,Rangelands,Range,Range,318.75,1012.044444,384.788,2.630135151
1984,PRHPA,Croplands,Maize,Cereal,702.199915,9976.4025,790.1950007,12.62524123
1984,PRHPA,Croplands,Soybean,Non-Cereal,702.199915,4144.7375,790.1950007,5.245208456
1985,CPER,Rangelands,Range,Range,318.75,836.4698413,303.122,2.759515447
1985,PRHPA,Croplands,Maize,Cereal,702.199915,16700.1125,761.8769963,21.91969646
1985,PRHPA,Croplands,Soybean,Non-Cereal,702.199915,7670.675,761.8769963,10.06812784
1986,CPER,Rangelands,Range,Range,318.75,544.4177778,258.638,2.104941183
1986,PRHPA,Croplands,Maize,Cereal,702.199915,15827.73,1012.173011,15.63737604
1986,PRHPA,Croplands,Soybean,Non-Cereal,702.199915,6813.885,1012.173011,6.731937054
1987,CPER,Rangelands,Range,Range,318.75,606.9422222,317.512,1.911556799
1987,PRHPA,Croplands,Maize,Cereal,702.199915,14863.416,800.1190018,18.5765067
1987,PRHPA,Croplands,Soybean,Non-Cereal,702.199915,5139.522,800.1190018,6.423446998
1988,CPER,Rangelands,Range,Range,318.75,727.0044444,332.486,2.186571598
1988,PRHPA,Croplands,Maize,Cereal,702.199915,12199.648,482.346,25.29231713
1988,PRHPA,Croplands,Soybean,Non-Cereal,702.199915,4549.076,482.346,9.431146936
1989,CPER,Rangelands,Range,Range,318.75,540.3555556,272.282,1.984543802
1989,PRHPA,Croplands,Maize,Cereal,702.199915,11338.192,543.052,20.87864882
1989,PRHPA,Croplands,Soybean,Non-Cereal,702.199915,5113.904,543.052,9.416969277
1990,CPER,Rangelands,Range,Range,318.75,695.9111111,286.476,2.429212608
1990,KBS,Croplands,Soybean,Non-Cereal,942.5095796,10221.695,973.15,10.50371988
1990,PRHPA,Croplands,Maize,Cereal,702.199915,14575.834,593.5019994,24.559031
1990,PRHPA,Croplands,Soybean,Non-Cereal,702.199915,5269.252,593.5019994,8.878237994
1991,CPER,Rangelands,Range,Range,318.75,914.8177778,286.77,3.190074895
1991,KBS,Croplands,Maize,Cereal,942.5095796,13957.4552,1044.92,13.35743904
1991,PRHPA,Croplands,Maize,Cereal,702.199915,14688.432,758.359999,19.36867981
1991,PRHPA,Croplands,Soybean,Non-Cereal,702.199915,5812.018,758.359999,7.66393007
1992,CPER,Rangelands,Range,Range,318.75,963.1911111,372.922,2.582821907
1992,KBS,Croplands,Soybean,Non-Cereal,942.5095796,5335.88,821.1,6.498453294
1992,PRHPA,Croplands,Maize,Cereal,702.199915,19176.3,683.4499992,28.05808768
1992,PRHPA,Croplands,Soybean,Non-Cereal,702.199915,5127.744,649.9219992,7.889783707
1993,CPER,Rangelands,Range,Range,318.75,430.5847619,291.878,1.475221709
1993,KBS,Croplands,Maize,Cereal,942.5095796,15820.30317,956.13,16.54618427
1993,PRHPA,Croplands,Maize,Cereal,702.199915,15758.404,1016.948004,15.49578144
1993,PRHPA,Croplands,Soybean,Non-Cereal,702.199915,6458.434,1031.934004,6.258572715
1994,CPER,Rangelands,Range,Range,318.75,471.7155556,301.744,1.563297217
1994,KBS,Croplands,Soybean,Non-Cereal,942.5095796,6939.623333,803.57,8.635991057
1994,NP,Croplands,Spring_Wheat,Cereal,447.1199993,7489.019855,307.8689988,24.32534579
