Crop,Site_code,Harvest_month,Year,ANPP,N_amt,N_cat,PPT
Maize,KBS,9,1999,13653.72417,27,Low,636.2406
Maize,KBS,9,1999,14928.55647,97,Low,636.2406
Maize,KBS,9,1999,11534.58003,115,High,636.2406
Maize,KBS,10,1990,10850,0,No,973.15
Maize,KBS,10,1990,11334.81917,28,Low,973.15
Maize,KBS,10,1991,14291.1477,124,High,1044.92
Maize,KBS,10,1993,8833.324733,0,No,956.13
Maize,KBS,10,1993,12013.9341,60,Low,956.13
Maize,KBS,10,1993,15488.48062,84,Low,956.13
Maize,KBS,10,1996,8822.73,0,No,691.8
Maize,KBS,10,1996,10138.34667,55,Low,691.8
Maize,KBS,10,1996,10177.75333,138,High,691.8
Maize,KBS,10,1996,9253.303333,189,High,691.8
Maize,KBS,10,2002,11298.24849,28,Low,758.3424
Maize,KBS,10,2002,11262.72297,162,High,758.3424
Maize,KBS,10,2002,10709.44953,163,High,758.3424
Maize,KBS,10,2005,12259.52533,0,No,753.1504
Maize,KBS,10,2005,14810.15667,33,Low,753.1504
Maize,KBS,10,2005,15823.73,157,High,753.1504
Maize,KBS,10,2008,9371.588,33,Low,1161.554
Maize,KBS,10,2008,12360.255,147,High,1161.554
Maize,KBS,10,2011,11878.30267,124,High,1064.54
Maize,KBS,10,2011,18224.51667,157,High,1064.54
Maize,KBS,10,2011,18086.20867,158,High,1064.54
Maize,KBS,10,2011,21789.48533,159,High,1064.54
Maize,KBS,10,2014,11146.06233,0,No,963.35
Maize,KBS,10,2014,19123.485,44,Low,963.35
Maize,KBS,10,2014,20037.36367,168,High,963.35
Maize,KBS,10,2017,5547.6,0,No,1081
Maize,KBS,10,2017,15014.40333,34,Low,1081
Maize,KBS,10,2017,15862.52333,172,High,1081
Maize,KBS,10,2017,15900.69667,173,High,1081
Maize,KBS,10,2020,11907.44667,0,No,1043
Maize,KBS,10,2020,16965.82667,284,High,1043
Maize,KBS,10,2020,15059.319,500,High,1043
Maize,PRHPA,8,2012,10918.90133,0,No,409.957
Maize,PRHPA,8,2012,10099.0316,89.998,Low,409.957
Maize,PRHPA,8,2012,12623.138,179.996,High,409.957
Maize,PRHPA,8,2012,7174.866667,0,No,409.957
Maize,PRHPA,8,2012,7766.225,60,Low,409.957
Maize,PRHPA,8,2012,9032.325,120,High,409.957
Maize,PRHPA,8,2012,8621.6875,180,High,409.957
Maize,PRHPA,9,1984,11216.7475,0,No,790.1950007
Maize,PRHPA,9,1984,10545.5845,89.998,Low,790.1950007
Maize,PRHPA,9,1984,11559.65313,179.996,High,790.1950007
Maize,PRHPA,9,1985,15024.2925,0,No,761.8769963
Maize,PRHPA,9,1985,15501.677,89.998,Low,761.8769963
Maize,PRHPA,9,1985,17089.37938,179.996,High,761.8769963
Maize,PRHPA,9,1987,13732.872,0,No,800.1190018
Maize,PRHPA,9,1987,12609.6996,89.998,Low,800.1190018
Maize,PRHPA,9,1987,14234.138,179.996,High,800.1190018
Maize,PRHPA,9,1988,11088.632,0,No,482.346
Maize,PRHPA,9,1988,10501.7268,89.998,Low,482.346
Maize,PRHPA,9,1988,13052.166,179.996,High,482.346
Maize,PRHPA,9,1989,10229.78533,0,No,543.052
Maize,PRHPA,9,1989,10646.308,89.998,Low,543.052
Maize,PRHPA,9,1989,12315.6595,179.996,High,543.052
Maize,PRHPA,9,1990,11044.40533,0,No,593.5019994
Maize,PRHPA,9,1990,13520.2544,89.998,Low,593.5019994
Maize,PRHPA,9,1990,14746.4765,179.996,High,593.5019994
Maize,PRHPA,9,1991,12403.37867,0,No,758.359999
Maize,PRHPA,9,1991,12964.9548,89.998,Low,758.359999
Maize,PRHPA,9,1991,13241.41,179.996,High,758.359999
Maize,PRHPA,9,1994,16604.31267,0,No,794.062
Maize,PRHPA,9,1994,16223.0324,89.998,Low,794.062
Maize,PRHPA,9,1994,19448.592,179.996,High,794.062
Maize,PRHPA,9,1995,5907.936667,0,No,590.07
Maize,PRHPA,9,1995,5447.4684,89.998,Low,590.07
Maize,PRHPA,9,1995,6910.732,179.996,High,590.07
Maize,PRHPA,9,1998,14532.16667,0,No,849.17
Maize,PRHPA,9,1998,14401.5724,89.998,Low,849.17
Maize,PRHPA,9,1998,16376.0775,179.996,High,849.17
Maize,PRHPA,9,1999,13733.838,0,No,812.749
Maize,PRHPA,9,1999,14616.1756,89.998,Low,812.749
Maize,PRHPA,9,1999,17118.415,179.996,High,812.749
Maize,PRHPA,9,2000,11839.52533,0,No,500.913
Maize,PRHPA,9,2000,10681.7692,89.998,Low,500.913
Maize,PRHPA,9,2000,12197.403,179.996,High,500.913
Maize,PRHPA,9,2000,11449.9,60,Low,500.913
Maize,PRHPA,9,2000,11005.76667,120,High,500.913
Maize,PRHPA,9,2000,12609.36667,180,High,500.913
Maize,PRHPA,9,2001,10363.70067,0,No,683.515
Maize,PRHPA,9,2001,11633.934,89.998,Low,683.515
Maize,PRHPA,9,2001,13037.009,179.996,High,683.515
Maize,PRHPA,9,2001,8611.641667,60,Low,683.515
Maize,PRHPA,9,2001,9521.916667,120,High,683.515
Maize,PRHPA,9,2001,11201.36667,180,High,683.515
Maize,PRHPA,9,2002,6738.174667,0,No,569.9
Maize,PRHPA,9,2002,7967.73,89.998,Low,569.9
Maize,PRHPA,9,2002,9161.415,179.996,High,569.9
Maize,PRHPA,9,2002,7686.458333,60,Low,569.9
Maize,PRHPA,9,2002,9063.283334,120,High,569.9
Maize,PRHPA,9,2002,9884.4,180,High,569.9
Maize,PRHPA,9,2003,11153.88867,0,No,522.199
Maize,PRHPA,9,2003,12753.6532,89.998,Low,522.199
Maize,PRHPA,9,2003,14630.0805,179.996,High,522.199
Maize,PRHPA,9,2003,8833.825,60,Low,522.199
